attribute,gpkg,spatialite,notes
SAMPLE_F8_orient,49.5,49.5,Feature 8 - orient
SAMPLE_F8_perend,None,None,Feature 8 - perend
SAMPLE_F8_persta,None,None,Feature 8 - persta
SAMPLE_F8_prim,1,1,Feature 8 - prim
SAMPLE_F8_rcid,5237,5237,Feature 8 - rcid
SAMPLE_F8_recdat,None,None,Feature 8 - recdat
SAMPLE_F8_recind,None,None,Feature 8 - recind
SAMPLE_F8_rver,1,1,Feature 8 - rver
SAMPLE_F8_scamax,nan,nan,Feature 8 - scamax
SAMPLE_F8_scamin,9999999,9999999,Feature 8 - scamin
SAMPLE_F8_sordat,200303,200303,Feature 8 - sordat
SAMPLE_F8_sorind,"US,US,graph,Chart 411","US,US,graph,Chart 411",Feature 8 - sorind
SAMPLE_FEATURE_9_SEPARATOR,--- FEATURE 9 ---,--- FEATURE 9 ---,Feature 9 sample
SAMPLE_F9_agen,550,550,Feature 9 - agen
SAMPLE_F9_curvel,2.5,2.5,Feature 9 - curvel
SAMPLE_F9_datend,None,None,Feature 9 - datend
SAMPLE_F9_datsta,None,None,Feature 9 - datsta
SAMPLE_F9_dsid_dsnm,US1GC09M,US1GC09M,Feature 9 - dsid_dsnm
SAMPLE_F9_dsid_edtn,65,65,Feature 9 - dsid_edtn
SAMPLE_F9_dsid_updn,5,5,Feature 9 - dsid_updn
SAMPLE_F9_fidn,253934542,253934542,Feature 9 - fidn
SAMPLE_F9_fids,4044,4044,Feature 9 - fids
SAMPLE_F9_geometry,Point(1),Point(1),Feature 9 - geometry
SAMPLE_F9_grup,2,2,Feature 9 - grup
SAMPLE_F9_inform,None,None,Feature 9 - inform
SAMPLE_F9_lnam,02260F22BBCE0FCC,02260F22BBCE0FCC,Feature 9 - lnam
SAMPLE_F9_ninfom,None,None,Feature 9 - ninfom
SAMPLE_F9_nobjnm,None,None,Feature 9 - nobjnm
SAMPLE_F9_objl,36,36,Feature 9 - objl
SAMPLE_F9_objnam,Gulf Stream,Gulf Stream,Feature 9 - objnam
SAMPLE_F9_orient,359.0,359.0,Feature 9 - orient
SAMPLE_F9_perend,None,None,Feature 9 - perend
SAMPLE_F9_persta,None,None,Feature 9 - persta
SAMPLE_F9_prim,1,1,Feature 9 - prim
SAMPLE_F9_rcid,5238,5238,Feature 9 - rcid
SAMPLE_F9_recdat,None,None,Feature 9 - recdat
SAMPLE_F9_recind,None,None,Feature 9 - recind
SAMPLE_F9_rver,1,1,Feature 9 - rver
SAMPLE_F9_scamax,nan,nan,Feature 9 - scamax
SAMPLE_F9_scamin,9999999,9999999,Feature 9 - scamin
SAMPLE_F9_sordat,200303,200303,Feature 9 - sordat
SAMPLE_F9_sorind,"US,US,graph,Chart 411","US,US,graph,Chart 411",Feature 9 - sorind
SAMPLE_FEATURE_10_SEPARATOR,--- FEATURE 10 ---,--- FEATURE 10 ---,Feature 10 sample
SAMPLE_F10_agen,550,550,Feature 10 - agen
SAMPLE_F10_curvel,3.9,3.9,Feature 10 - curvel
SAMPLE_F10_datend,None,None,Feature 10 - datend
SAMPLE_F10_datsta,None,None,Feature 10 - datsta
SAMPLE_F10_dsid_dsnm,US1GC09M,US1GC09M,Feature 10 - dsid_dsnm
SAMPLE_F10_dsid_edtn,65,65,Feature 10 - dsid_edtn
SAMPLE_F10_dsid_updn,5,5,Feature 10 - dsid_updn
SAMPLE_F10_fidn,253934544,253934544,Feature 10 - fidn
SAMPLE_F10_fids,4044,4044,Feature 10 - fids
SAMPLE_F10_geometry,Point(1),Point(1),Feature 10 - geometry
SAMPLE_F10_grup,2,2,Feature 10 - grup
SAMPLE_F10_inform,None,None,Feature 10 - inform
SAMPLE_F10_lnam,02260F22BBD00FCC,02260F22BBD00FCC,Feature 10 - lnam
SAMPLE_F10_ninfom,None,None,Feature 10 - ninfom
SAMPLE_F10_nobjnm,None,None,Feature 10 - nobjnm
SAMPLE_F10_objl,36,36,Feature 10 - objl
SAMPLE_F10_objnam,Gulf Stream,Gulf Stream,Feature 10 - objnam
SAMPLE_F10_orient,359.0,359.0,Feature 10 - orient
SAMPLE_F10_perend,None,None,Feature 10 - perend
SAMPLE_F10_persta,None,None,Feature 10 - persta
SAMPLE_F10_prim,1,1,Feature 10 - prim
SAMPLE_F10_rcid,5239,5239,Feature 10 - rcid
SAMPLE_F10_recdat,None,None,Feature 10 - recdat
SAMPLE_F10_recind,None,None,Feature 10 - recind
SAMPLE_F10_rver,1,1,Feature 10 - rver
SAMPLE_F10_scamax,nan,nan,Feature 10 - scamax
SAMPLE_F10_scamin,9999999,9999999,Feature 10 - scamin
SAMPLE_F10_sordat,200303,200303,Feature 10 - sordat
SAMPLE_F10_sorind,"US,US,graph,Chart 411","US,US,graph,Chart 411",Feature 10 - sorind
